epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.18131,2.16137,3.66981,1.73343,0.00549,0.75,0.04307,0.0223,1.90543,4.00994,1.43221,0.09703,3e-05,3e-05
2,7.36502,2.04943,3.48565,1.6665,0.00345,0.76923,0.327,0.14396,1.67962,3.62123,1.33795,0.09307,6.99829e-05,6.99829e-05
3,9.66819,1.92505,2.52017,1.50695,0.00229,0.51923,0.13544,0.06624,1.69798,4.08139,1.4991,0.0891099,0.000109893,0.000109893
4,11.8749,1.73748,1.72379,1.3957,0.00348,0.69231,0.1311,0.05705,1.55922,3.89355,1.37635,0.0851497,0.00014967,0.00014967
5,14.0743,1.67605,1.56792,1.37315,0.57163,0.07692,0.18779,0.10835,1.45115,3.64531,1.23929,0.0811893,0.000189258,0.000189258
6,16.2506,1.65111,1.48813,1.40768,0.12727,0.26923,0.19527,0.10225,1.53452,4.16495,1.341,0.0772286,0.000228598,0.000228598
7,18.5183,1.56949,1.28493,1.36693,0.02614,0.07692,0.06312,0.03083,1.78178,4.60953,1.37863,0.0732676,0.000267633,0.000267633
8,20.6858,1.58677,1.2922,1.33741,0.02924,0.09615,0.04457,0.01751,1.84694,4.80138,1.4197,0.0693063,0.000306304,0.000306304
9,23.0226,1.62664,1.25876,1.40199,0.37414,0.28743,0.28357,0.13567,1.80178,3.77133,1.32725,0.0653446,0.000344557,0.000344557
10,25.3454,1.73155,1.24095,1.36978,0.14344,0.67308,0.30033,0.14163,1.87467,3.68919,1.4015,0.0613823,0.000382335,0.000382335
11,27.618,1.5807,1.23537,1.36212,0.52533,0.15385,0.40642,0.22409,1.62817,2.93655,1.27482,0.0574196,0.000419582,0.000419582
12,29.9102,1.5105,1.17322,1.29283,0.73821,0.09615,0.42028,0.27763,1.48709,3.28411,1.19911,0.0534562,0.000456246,0.000456246
