epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.493,1.38109,1.72017,1.71951,0.76244,0.74249,0.76215,0.36842,2.15574,1.743,2.03378,0.0677174,0.000326087,0.000326087
2,20.597,1.37403,1.03329,1.63108,0.91007,0.88051,0.95648,0.6133,1.29842,0.82331,1.32454,0.0347172,0.000659259,0.000659259
3,29.563,1.32784,0.90195,1.56296,0.93208,0.92037,0.94369,0.54676,1.59007,0.76872,1.4252,0.00171642,0.000991784,0.000991784
4,38.4403,1.3171,0.85037,1.51746,0.94839,0.91732,0.95457,0.60102,1.32057,0.72679,1.27091,0.000997803,0.000997803,0.000997803
5,47.3303,1.28817,0.79727,1.46627,0.91913,0.92003,0.93785,0.60402,1.33923,0.69952,1.27073,0.000996097,0.000996097,0.000996097
6,56.1298,1.23317,0.78127,1.4421,0.86383,0.92201,0.87773,0.51472,1.55105,0.82541,1.41348,0.000993906,0.000993906,0.000993906
7,64.9598,1.25127,0.75814,1.4425,0.87527,0.93557,0.93252,0.58721,1.42163,0.68426,1.31685,0.000991232,0.000991232,0.000991232
8,73.9038,1.26994,0.78721,1.46856,0.91131,0.87247,0.91873,0.60104,1.42386,0.71548,1.29898,0.000988079,0.000988079,0.000988079
9,83.0268,1.2472,0.7522,1.43365,0.90422,0.91664,0.92849,0.56723,1.412,0.7538,1.2803,0.000984449,0.000984449,0.000984449
10,92.1528,1.24579,0.75462,1.43576,0.86693,0.90185,0.88576,0.50183,1.65622,0.75884,1.42176,0.000980345,0.000980345,0.000980345
11,101.023,1.23147,0.73087,1.41846,0.90387,0.9102,0.92513,0.55503,1.49072,0.71769,1.33387,0.000975773,0.000975773,0.000975773
12,110.319,1.23653,0.75038,1.46603,0.88762,0.8841,0.89788,0.5114,1.57428,0.769,1.468,0.000970736,0.000970736,0.000970736
13,119.307,1.21988,0.73283,1.40682,0.89374,0.8805,0.87432,0.458,1.81595,0.85098,1.56335,0.000965239,0.000965239,0.000965239
14,128.169,1.25201,0.74015,1.42998,0.89546,0.9015,0.89488,0.5286,1.57865,0.78424,1.40679,0.000959289,0.000959289,0.000959289
15,137.061,1.20159,0.73647,1.42211,0.84832,0.85542,0.88304,0.53544,1.47333,0.80914,1.36049,0.000952889,0.000952889,0.000952889
16,146.26,1.20768,0.71709,1.41449,0.90959,0.87226,0.87383,0.5146,1.57324,0.75008,1.46025,0.000946048,0.000946048,0.000946048
17,155.246,1.15104,0.69875,1.37944,0.89288,0.89098,0.8919,0.48749,1.7502,0.72788,1.48554,0.000938772,0.000938772,0.000938772
18,164.172,1.15199,0.67506,1.36424,0.91221,0.91296,0.9124,0.56304,1.52084,0.70483,1.35587,0.000931067,0.000931067,0.000931067
19,173.372,1.17855,0.70512,1.4017,0.91943,0.92593,0.93111,0.58228,1.37026,0.69727,1.29092,0.000922942,0.000922942,0.000922942
20,182.48,1.16171,0.67842,1.38402,0.86877,0.90883,0.89656,0.49872,1.82592,0.75493,1.53402,0.000914405,0.000914405,0.000914405
21,191.366,1.15554,0.6749,1.39864,0.90504,0.89186,0.91703,0.52959,1.70874,0.7365,1.41614,0.000905463,0.000905463,0.000905463
22,200.214,1.14522,0.66671,1.36971,0.88045,0.92483,0.91099,0.53862,1.5827,0.68188,1.4129,0.000896127,0.000896127,0.000896127
