epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3576,1.9659,2.43648,1.72201,2e-05,0.00866,1e-05,0,nan,nan,nan,0.0514,0.0054,0.0054
2,35.9988,1.81079,1.46496,1.70097,0.00032,0.17965,0.00033,8e-05,3.48162,inf,5.73942,0.009901,0.009901,0.009901
3,51.5279,1.73782,1.30289,1.62035,0.00074,0.01994,0.00039,0.00016,2.84211,7.07568,2.83343,0.009802,0.009802,0.009802
4,66.9764,1.6935,1.24291,1.61134,0.43462,0.41164,0.38703,0.12686,2.16604,6.88172,1.86898,0.009703,0.009703,0.009703
5,82.552,1.60181,1.17738,1.5403,0.5401,0.49419,0.49603,0.21339,2.01224,9.25673,1.77698,0.009604,0.009604,0.009604
6,98.1232,1.54797,1.08571,1.49945,0.75176,0.53381,0.60151,0.31883,1.67778,3.41041,1.6607,0.009505,0.009505,0.009505
7,113.577,1.51727,1.05543,1.45978,0.64685,0.80303,0.68533,0.3479,1.68243,1.63575,1.54272,0.009406,0.009406,0.009406
8,128.932,1.47508,1.00928,1.45864,0.86876,0.86097,0.92475,0.54258,1.33974,1.20533,1.41532,0.009307,0.009307,0.009307
9,144.543,1.46337,0.98924,1.44153,0.91258,0.90563,0.93936,0.57609,1.33136,0.88699,1.35783,0.009208,0.009208,0.009208
10,159.983,1.43884,0.97356,1.42868,0.83182,0.80827,0.84066,0.40664,1.76128,1.25572,1.61624,0.009109,0.009109,0.009109
11,175.762,1.39447,0.95119,1.38534,0.79875,0.89689,0.89216,0.55754,1.27476,0.93398,1.33719,0.00901,0.00901,0.00901
12,191.234,1.393,0.95466,1.38543,0.8757,0.841,0.93027,0.5348,1.41899,0.93827,1.40396,0.008911,0.008911,0.008911
13,206.502,1.35893,0.899,1.36152,0.87477,0.88299,0.92567,0.55542,1.29708,0.9503,1.37159,0.008812,0.008812,0.008812
14,221.994,1.35797,0.88101,1.36739,0.90072,0.91536,0.93899,0.59057,1.18372,0.8475,1.30275,0.008713,0.008713,0.008713
15,237.446,1.36575,0.90669,1.37474,0.89318,0.87403,0.92554,0.54898,1.36203,0.92847,1.36888,0.008614,0.008614,0.008614
16,252.929,1.31738,0.86281,1.34405,0.80361,0.90845,0.90767,0.5967,1.10181,0.86818,1.3033,0.008515,0.008515,0.008515
17,268.399,1.30051,0.83516,1.33125,0.9195,0.92762,0.92846,0.47036,1.6942,0.85748,1.51683,0.008416,0.008416,0.008416
18,283.789,1.28228,0.83141,1.32534,0.87247,0.92011,0.94746,0.62171,1.15737,0.84334,1.25641,0.008317,0.008317,0.008317
19,299.276,1.30044,0.83581,1.33561,0.89863,0.92513,0.93176,0.58615,1.26848,0.77296,1.27342,0.008218,0.008218,0.008218
20,314.78,1.27136,0.82751,1.30177,0.92795,0.93482,0.96377,0.64265,1.10686,0.71446,1.22638,0.008119,0.008119,0.008119
21,330.383,1.2706,0.8095,1.30143,0.92446,0.91536,0.95201,0.62901,1.20107,0.71397,1.22684,0.00802,0.00802,0.00802
22,345.823,1.28343,0.80525,1.31225,0.92588,0.93594,0.94265,0.61645,1.18015,0.77547,1.26245,0.007921,0.007921,0.007921
