epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6195,2.23299,6.1636,1.81281,0,0,0,0,nan,nan,nan,0.0874,0.0014,0.0014
2,19.9771,2.13112,3.02404,2.00594,0,0,0,0,nan,nan,nan,0.0738713,0.00287129,0.00287129
3,29.273,2.13088,2.16397,2.08036,0,0,0,0,nan,nan,nan,0.0603129,0.00431288,0.00431288
4,38.2248,1.97064,1.81476,2.00349,6e-05,0.03191,4e-05,0,nan,nan,nan,0.0467248,0.00572477,0.00572477
5,47.7113,1.92989,1.56036,1.97515,0.00013,0.03906,9e-05,2e-05,nan,nan,nan,0.033107,0.00710696,0.00710696
6,56.3046,1.87054,1.43266,1.91387,1e-05,0.00714,1e-05,0,nan,nan,nan,0.0194595,0.00845945,0.00845945
7,64.9609,1.91757,1.44682,1.94848,6e-05,0.02857,3e-05,1e-05,nan,nan,nan,0.009406,0.009406,0.009406
8,72.2623,1.87074,1.46744,1.91254,6e-05,0.02857,3e-05,1e-05,nan,nan,nan,0.009307,0.009307,0.009307
9,81.1022,1.91587,1.45381,1.96024,0.01508,0.07143,0.00377,0.00083,nan,nan,nan,0.009208,0.009208,0.009208
10,89.5315,1.76266,1.35852,1.84886,0.50289,0.01429,0.00044,6e-05,nan,nan,nan,0.009109,0.009109,0.009109
11,97.7652,1.72224,1.31411,1.76287,0.50289,0.01429,0.00044,6e-05,0,0,0,0.00901,0.00901,0.00901
12,106.769,1.76356,1.29654,1.81334,0.44862,0.24544,0.20264,0.04362,3.37516,3.28901,4.08709,0.008911,0.008911,0.008911
13,116.008,1.71097,1.23323,1.79526,0.56531,0.52629,0.41793,0.13034,2.81308,1.97247,3.37512,0.008812,0.008812,0.008812
14,124.568,1.72245,1.19469,1.81579,0.46217,0.38815,0.32983,0.12929,2.64936,2.06004,3.16207,0.008713,0.008713,0.008713
15,133.477,1.7198,1.27168,1.78957,0.61142,0.29865,0.34305,0.11267,2.6734,13.5606,2.89861,0.008614,0.008614,0.008614
16,145.695,1.66568,1.17473,1.73288,0.67159,0.18706,0.20918,0.05428,3.51131,17.0002,4.6484,0.008515,0.008515,0.008515
17,153.655,1.67124,1.15273,1.76858,0.76176,0.78283,0.74917,0.28948,2.23706,1.24362,2.26511,0.008416,0.008416,0.008416
18,162.06,1.57377,1.11687,1.67904,0.75968,0.50388,0.671,0.27268,2.1382,1.56573,2.21856,0.008317,0.008317,0.008317
19,169.324,1.65435,1.1035,1.74262,0.81026,0.71673,0.80905,0.43255,1.77265,1.35048,1.86621,0.008218,0.008218,0.008218
20,177.704,1.61371,1.08999,1.67426,0.82119,0.75077,0.80356,0.45872,1.60026,1.41531,1.75126,0.008119,0.008119,0.008119
21,185.721,1.54404,1.07799,1.63436,0.80923,0.48636,0.65534,0.34402,2.01188,2.70145,2.08103,0.00802,0.00802,0.00802
22,193.616,1.5798,1.07043,1.69001,0.90442,0.88617,0.88647,0.39719,1.91917,0.96125,1.91105,0.007921,0.007921,0.007921
23,201.373,1.53655,1.05853,1.63896,0.77402,0.65441,0.68827,0.27278,2.35153,1.32419,2.39645,0.007822,0.007822,0.007822
24,208.883,1.59112,1.07095,1.69236,0.64442,0.4174,0.4704,0.19988,2.38605,3.09169,2.54289,0.007723,0.007723,0.007723
25,216.455,1.53037,1.01417,1.63523,0.79685,0.89754,0.86767,0.42457,1.75962,1.02024,1.88723,0.007624,0.007624,0.007624
26,223.976,1.54105,0.99958,1.64696,0.85711,0.83967,0.83729,0.43544,1.72564,1.08562,1.82435,0.007525,0.007525,0.007525
27,231.529,1.51545,0.98816,1.62254,0.86776,0.76474,0.78977,0.39469,1.82112,1.17511,1.91249,0.007426,0.007426,0.007426
28,239.269,1.51656,0.93301,1.61163,0.89295,0.86474,0.85521,0.44756,1.63177,0.91608,1.74583,0.007327,0.007327,0.007327
29,246.61,1.47727,0.98723,1.62489,0.91465,0.90046,0.89352,0.48322,1.58662,0.97327,1.72899,0.007228,0.007228,0.007228
30,255.053,1.47546,0.91715,1.57611,0.90478,0.83231,0.88101,0.48488,1.57978,1.11394,1.71929,0.007129,0.007129,0.007129
31,263.288,1.43798,0.91318,1.57671,0.84264,0.78815,0.8131,0.41435,1.60434,1.41439,1.71057,0.00703,0.00703,0.00703
32,271.527,1.45926,0.90171,1.55847,0.91574,0.91459,0.88493,0.44992,1.76406,0.87929,1.80583,0.006931,0.006931,0.006931
33,278.868,1.47612,0.88722,1.57187,0.85435,0.79798,0.82059,0.36313,1.88263,1.31595,1.8964,0.006832,0.006832,0.006832
34,286.309,1.45908,0.88765,1.5512,0.90482,0.8952,0.90056,0.47282,1.70515,0.90547,1.72095,0.006733,0.006733,0.006733
35,293.885,1.43372,0.91642,1.5624,0.87627,0.87973,0.86967,0.41198,1.87773,0.99779,1.88965,0.006634,0.006634,0.006634
36,301.407,1.41051,0.86524,1.52843,0.88959,0.85651,0.86374,0.47919,1.64884,0.87527,1.7208,0.006535,0.006535,0.006535
37,309.056,1.41218,0.89573,1.53497,0.92596,0.88617,0.89314,0.50721,1.57166,0.82252,1.66877,0.006436,0.006436,0.006436
38,317.105,1.42409,0.85189,1.55983,0.88256,0.86109,0.86886,0.44485,1.7774,0.88228,1.82438,0.006337,0.006337,0.006337
