epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9129,1.73942,3.841,1.59084,0.00134,0.37575,0.00127,0.00054,2.05517,4.47459,1.75252,0.09109,9e-05,9e-05
2,18.5366,1.5773,2.67087,1.48217,0.0021,0.01923,0.00626,0.0038,2.41188,5.02462,2.17548,0.08119,0.000189954,0.000189954
3,25.981,1.54355,1.96725,1.46591,0.10801,0.26166,0.12615,0.0549,2.60309,4.38865,1.95843,0.0712897,0.000289717,0.000289717
4,33.365,1.50488,1.53845,1.40584,0.44063,0.11908,0.16936,0.05891,2.72887,4.05826,2.06689,0.0613891,0.000389143,0.000389143
5,40.533,1.4957,1.28762,1.37883,0.74269,0.6106,0.66497,0.29547,2.10385,1.46009,1.5758,0.0514881,0.000488087,0.000488087
6,47.6909,1.51267,1.24676,1.39496,0.61797,0.47937,0.47893,0.19061,2.05684,2.50118,1.57614,0.0415864,0.000586404,0.000586404
7,54.7322,1.48701,1.18646,1.39382,0.51371,0.27532,0.26,0.08745,2.36238,19.2155,1.93225,0.031684,0.00068395,0.00068395
8,61.9028,1.41029,1.14725,1.3394,0.55472,0.37148,0.29153,0.11706,1.99595,4.972,1.72183,0.0217806,0.000780582,0.000780582
9,69.0559,1.43923,1.13149,1.35284,0.53932,0.4061,0.47489,0.23348,1.90483,2.52823,1.46032,0.0118762,0.000876159,0.000876159
10,76.0526,1.42669,1.09909,1.35178,0.42373,0.54124,0.49129,0.2242,1.85824,3.51466,1.39436,0.00197054,0.000970542,0.000970542
11,83.0839,1.43776,1.12549,1.35651,0.67501,0.70635,0.75199,0.37086,1.70077,1.93611,1.29055,0.000975773,0.000975773,0.000975773
12,90.11,1.45145,1.10427,1.35301,0.76384,0.54756,0.61231,0.35021,1.51578,2.10621,1.25744,0.000970736,0.000970736,0.000970736
13,98.1918,1.4513,1.10135,1.35228,0.8448,0.779,0.83882,0.42938,1.59102,1.48846,1.21718,0.000965239,0.000965239,0.000965239
14,105.415,1.38125,1.0533,1.30878,0.78697,0.57249,0.73261,0.33284,1.95997,2.16192,1.46823,0.000959289,0.000959289,0.000959289
15,112.77,1.39812,0.97077,1.29605,0.83387,0.87813,0.88515,0.49218,1.43561,1.08828,1.27742,0.000952889,0.000952889,0.000952889
16,119.869,1.40851,1.01805,1.33851,0.6969,0.60123,0.69283,0.40061,1.42731,1.57199,1.30158,0.000946048,0.000946048,0.000946048
17,126.873,1.39987,0.97307,1.31066,0.76608,0.77872,0.81615,0.47795,1.38591,1.19766,1.23716,0.000938772,0.000938772,0.000938772
18,133.978,1.38104,1.0042,1.32254,0.66529,0.62474,0.69017,0.37432,1.64175,1.52192,1.4041,0.000931067,0.000931067,0.000931067
19,142.067,1.3392,0.9724,1.29099,0.87654,0.74927,0.77424,0.49054,1.28863,1.38212,1.17868,0.000922942,0.000922942,0.000922942
20,150.132,1.38102,0.98883,1.31426,0.84405,0.64999,0.82668,0.51732,1.37523,1.33064,1.22546,0.000914405,0.000914405,0.000914405
21,157.115,1.31879,0.94737,1.26137,0.8452,0.68923,0.78262,0.48567,1.52282,1.65762,1.27661,0.000905463,0.000905463,0.000905463
22,164.211,1.30093,0.93076,1.2718,0.82417,0.75179,0.80619,0.44806,1.49551,1.19199,1.18732,0.000896127,0.000896127,0.000896127
23,171.191,1.33172,0.92483,1.28609,0.80191,0.63233,0.70359,0.30078,2.14584,1.16635,1.50008,0.000886404,0.000886404,0.000886404
24,178.292,1.30971,0.8742,1.24014,0.85871,0.6765,0.75841,0.32205,2.00285,1.21616,1.4025,0.000876305,0.000876305,0.000876305
25,185.307,1.32271,0.89653,1.28276,0.76655,0.66371,0.63163,0.24328,2.36964,1.20663,1.68185,0.000865839,0.000865839,0.000865839
26,193.334,1.23137,0.84478,1.2352,0.79682,0.68695,0.74473,0.37217,2.02316,1.18285,1.43446,0.000855018,0.000855018,0.000855018
27,200.336,1.25221,0.84738,1.23387,0.92261,0.85634,0.88468,0.50899,1.70177,0.95584,1.2978,0.000843851,0.000843851,0.000843851
28,208.51,1.20575,0.82924,1.20598,0.91176,0.71528,0.858,0.52582,1.43978,0.95557,1.19515,0.000832349,0.000832349,0.000832349
29,216.564,1.24823,0.85465,1.25172,0.80059,0.72539,0.73634,0.37214,1.98603,1.06508,1.44914,0.000820525,0.000820525,0.000820525
30,224.716,1.2696,0.83909,1.24741,0.86773,0.84578,0.85586,0.48011,1.63228,1.0071,1.24803,0.000808389,0.000808389,0.000808389
31,231.778,1.26863,0.86063,1.26203,0.9012,0.75991,0.83823,0.4571,1.55708,1.14383,1.22248,0.000795954,0.000795954,0.000795954
32,238.831,1.25506,0.83089,1.23654,0.64566,0.81114,0.62095,0.28584,1.8441,2.13811,1.31787,0.000783231,0.000783231,0.000783231
33,245.805,1.28965,0.85246,1.25169,0.64688,0.56132,0.55381,0.29394,1.67458,2.11574,1.26861,0.000770234,0.000770234,0.000770234
34,252.92,1.24638,0.85544,1.20457,0.7914,0.79501,0.78485,0.47458,1.42723,1.10979,1.1425,0.000756976,0.000756976,0.000756976
35,259.88,1.22158,0.83864,1.21386,0.86746,0.79402,0.85989,0.50471,1.44409,0.97832,1.16125,0.000743468,0.000743468,0.000743468
36,267.957,1.19313,0.81994,1.22109,0.8314,0.76875,0.84263,0.53038,1.28765,0.91304,1.12445,0.000729725,0.000729725,0.000729725
37,274.839,1.22672,0.79314,1.22097,0.86717,0.79466,0.83254,0.53031,1.28079,1.00256,1.14238,0.000715761,0.000715761,0.000715761
38,282.917,1.22998,0.80625,1.21822,0.84508,0.84974,0.88765,0.57811,1.26887,0.8969,1.13628,0.000701588,0.000701588,0.000701588
39,290.012,1.20617,0.77043,1.21398,0.90693,0.82135,0.89765,0.57661,1.20367,0.8412,1.09276,0.000687222,0.000687222,0.000687222
40,296.975,1.18138,0.75613,1.19858,0.88361,0.84346,0.87826,0.49626,1.49036,0.92187,1.17548,0.000672675,0.000672675,0.000672675
41,303.938,1.18164,0.76705,1.18932,0.81406,0.82932,0.84593,0.49453,1.36843,1.01999,1.16542,0.000657963,0.000657963,0.000657963
42,312.016,1.1873,0.79318,1.20092,0.92923,0.71815,0.82922,0.51888,1.36143,1.03404,1.22082,0.000643101,0.000643101,0.000643101
43,319.038,1.17804,0.75851,1.18503,0.81816,0.66684,0.76913,0.43553,1.46288,1.20519,1.18597,0.000628101,0.000628101,0.000628101
44,326.163,1.19284,0.7587,1.20497,0.87896,0.81583,0.86781,0.46146,1.49376,0.96951,1.19855,0.000612981,0.000612981,0.000612981
45,333.253,1.17413,0.75107,1.18004,0.70034,0.75389,0.741,0.43646,1.45208,1.17328,1.20317,0.000597754,0.000597754,0.000597754
46,340.285,1.15435,0.74597,1.18227,0.84261,0.83887,0.87398,0.54172,1.39653,0.86355,1.15374,0.000582435,0.000582435,0.000582435
47,348.345,1.14877,0.74655,1.17398,0.87219,0.87928,0.89532,0.55673,1.4235,0.87099,1.16997,0.00056704,0.00056704,0.00056704
48,355.332,1.13978,0.7488,1.17627,0.86083,0.8555,0.89256,0.59601,1.1091,0.83677,1.06707,0.000551584,0.000551584,0.000551584
49,363.393,1.13399,0.74579,1.17709,0.87462,0.87142,0.90631,0.58535,1.26969,0.83229,1.10268,0.000536081,0.000536081,0.000536081
50,371.442,1.13524,0.72252,1.16129,0.85935,0.79337,0.82923,0.50362,1.35341,0.84998,1.16043,0.000520548,0.000520548,0.000520548
51,378.482,1.10639,0.70047,1.14675,0.90903,0.79329,0.84445,0.5142,1.32037,0.84634,1.13092,0.000505,0.000505,0.000505
52,385.56,1.11783,0.68615,1.16895,0.89469,0.83307,0.87054,0.55312,1.24093,0.87735,1.11418,0.000489452,0.000489452,0.000489452
53,393.721,1.11805,0.71124,1.16397,0.88879,0.86235,0.88257,0.57585,1.28252,0.78615,1.08906,0.000473919,0.000473919,0.000473919
54,400.774,1.06856,0.68264,1.13975,0.8838,0.7972,0.84869,0.5436,1.1855,0.83306,1.07352,0.000458416,0.000458416,0.000458416
55,407.848,1.13368,0.71076,1.17181,0.89032,0.80905,0.84833,0.52278,1.22921,0.90783,1.09848,0.00044296,0.00044296,0.00044296
56,415.855,1.07166,0.6742,1.12893,0.86143,0.81289,0.85388,0.51075,1.31761,0.8799,1.09925,0.000427565,0.000427565,0.000427565
57,422.832,1.07419,0.66833,1.16361,0.85933,0.83835,0.8569,0.53375,1.30997,0.88097,1.10123,0.000412246,0.000412246,0.000412246
58,428.753,1.09836,0.67992,1.15915,0.9071,0.87027,0.90607,0.58432,1.19075,0.84615,1.05748,0.000397019,0.000397019,0.000397019
59,435.726,1.03039,0.64078,1.11531,0.88616,0.84509,0.88899,0.59775,1.14968,0.79584,1.0487,0.000381899,0.000381899,0.000381899
60,442.877,1.07522,0.66093,1.15237,0.84068,0.85919,0.87617,0.62335,1.00081,0.74901,1.01317,0.000366899,0.000366899,0.000366899
61,449.897,1.0539,0.65371,1.1364,0.88976,0.80341,0.83151,0.56562,1.08562,0.92212,1.0372,0.000352037,0.000352037,0.000352037
62,456.867,1.03851,0.65094,1.1313,0.82818,0.77817,0.78882,0.52108,1.24403,1.15724,1.12153,0.000337325,0.000337325,0.000337325
63,463.85,1.05167,0.65746,1.13413,0.84915,0.772,0.80464,0.52095,1.2451,1.17376,1.11139,0.000322778,0.000322778,0.000322778
64,471.893,1.00593,0.63281,1.10534,0.91732,0.79577,0.85504,0.59697,1.1,0.99341,1.06835,0.000308412,0.000308412,0.000308412
65,480.066,1.05066,0.67262,1.15395,0.91816,0.82848,0.90857,0.62777,1.12828,0.78567,1.07204,0.000294239,0.000294239,0.000294239
66,488.172,1.01044,0.62574,1.11015,0.94941,0.82827,0.88455,0.61414,1.10136,0.802,1.05096,0.000280275,0.000280275,0.000280275
67,496.249,1.04061,0.65229,1.13669,0.90409,0.86259,0.90674,0.61924,1.19074,0.83488,1.07131,0.000266532,0.000266532,0.000266532
68,504.194,1.02556,0.63614,1.13583,0.92485,0.87669,0.92138,0.66699,1.04363,0.8599,1.04528,0.000253024,0.000253024,0.000253024
69,511.2,0.99647,0.62162,1.11714,0.91738,0.90209,0.92562,0.66197,1.08582,0.77129,1.04488,0.000239766,0.000239766,0.000239766
70,518.322,1.02546,0.62419,1.12415,0.9069,0.90168,0.91607,0.65322,1.05662,0.7538,1.03334,0.000226769,0.000226769,0.000226769
71,525.326,1.02107,0.63135,1.1234,0.89945,0.88497,0.90377,0.60829,1.11961,0.80682,1.05416,0.000214046,0.000214046,0.000214046
72,532.388,0.96514,0.60067,1.07514,0.91207,0.83959,0.90374,0.5777,1.23061,0.84068,1.08087,0.000201611,0.000201611,0.000201611
73,539.248,0.98173,0.61006,1.091,0.92652,0.88105,0.9197,0.61436,1.15885,0.79765,1.0664,0.000189475,0.000189475,0.000189475
74,546.26,0.96833,0.58137,1.10399,0.89375,0.89194,0.90878,0.60131,1.23625,0.83038,1.07814,0.000177651,0.000177651,0.000177651
75,553.364,0.96697,0.60127,1.09367,0.89102,0.86075,0.88587,0.55916,1.36112,0.83422,1.13585,0.000166149,0.000166149,0.000166149
76,561.457,0.98095,0.58593,1.09268,0.89488,0.89561,0.90326,0.62069,1.14236,0.75926,1.06553,0.000154982,0.000154982,0.000154982
77,569.449,0.95189,0.59704,1.07511,0.90974,0.90315,0.92234,0.63342,1.13912,0.77135,1.05636,0.000144161,0.000144161,0.000144161
78,576.414,0.95926,0.59693,1.08977,0.91565,0.89812,0.92415,0.64343,1.11214,0.78828,1.05021,0.000133695,0.000133695,0.000133695
79,584.491,0.9533,0.58854,1.10038,0.90443,0.87677,0.92038,0.64064,1.09009,0.77601,1.03841,0.000123596,0.000123596,0.000123596
80,591.519,0.92354,0.58505,1.07258,0.88799,0.8803,0.91201,0.6352,1.07757,0.77302,1.04978,0.000113873,0.000113873,0.000113873
81,598.611,0.99197,0.5954,1.09538,0.90314,0.87686,0.91246,0.63745,1.10269,0.75039,1.0502,0.000104537,0.000104537,0.000104537
82,606.672,0.93178,0.56771,1.08899,0.9342,0.8577,0.9154,0.64042,1.07249,0.73824,1.03883,9.55951e-05,9.55951e-05,9.55951e-05
83,614.702,0.95724,0.57285,1.08315,0.89215,0.87005,0.91645,0.64552,1.02548,0.72356,1.02632,8.70577e-05,8.70577e-05,8.70577e-05
84,621.74,0.9556,0.58187,1.09329,0.90876,0.84703,0.90769,0.63612,1.09355,0.74605,1.03273,7.89327e-05,7.89327e-05,7.89327e-05
85,628.837,0.95389,0.57938,1.09002,0.91667,0.84937,0.90575,0.63279,1.10381,0.78549,1.03437,7.12282e-05,7.12282e-05,7.12282e-05
86,635.909,0.94706,0.57227,1.08064,0.94164,0.8265,0.89613,0.62682,1.06697,0.7975,1.02965,6.39518e-05,6.39518e-05,6.39518e-05
87,642.91,0.95324,0.57051,1.10487,0.93522,0.80958,0.88552,0.62809,1.06338,0.79377,1.02706,5.71106e-05,5.71106e-05,5.71106e-05
88,649.895,0.9224,0.55208,1.06307,0.90659,0.84584,0.88722,0.62508,1.08389,0.79902,1.02851,5.07115e-05,5.07115e-05,5.07115e-05
