epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49287,2.34576,3.6606,2.41193,0.00333,1,0.00556,0.00294,0.94285,3.47344,1.06757,0.09802,2e-05,2e-05
2,6.45491,2.43188,3.71431,2.4711,0.00315,0.94595,0.00647,0.0033,0.97287,3.56908,1.15138,0.09505,4.99878e-05,4.99878e-05
3,9.08072,2.08965,3.67142,2.12255,0.00261,0.78378,0.01603,0.00376,1.97053,3.99065,1.79284,0.0920799,7.99219e-05,7.99219e-05
4,11.4147,1.81172,3.08382,1.77482,0.0027,0.81081,0.38662,0.16691,2.39395,3.40153,1.69275,0.0891098,0.000109758,0.000109758
5,13.8219,1.7501,2.39583,1.6727,0.00198,0.59459,0.03337,0.01415,3.00894,3.74713,2.29364,0.0861395,0.000139454,0.000139454
6,16.0379,1.7376,2.03528,1.61875,0.00081,0.24324,0.00051,9e-05,3.77771,4.77857,3.12641,0.083169,0.000168964,0.000168964
7,18.5315,1.71562,1.86682,1.66817,0.00171,0.51351,0.00131,0.00029,3.55397,3.86489,2.70912,0.0801982,0.000198246,0.000198246
8,20.5179,1.7183,1.87336,1.6405,0.00237,0.48649,0.00178,0.0006,3.31642,4.10685,2.49939,0.0772273,0.000227258,0.000227258
9,23.0425,1.69263,1.70135,1.69274,0.00237,0.48649,0.00178,0.0006,3.28982,4.87193,2.75896,0.074256,0.000255957,0.000255957
10,25.3294,1.59189,1.58,1.6327,0.00237,0.48649,0.00178,0.0006,3.33512,5.12802,2.78834,0.0712843,0.0002843,0.0002843
11,27.61,1.52534,1.5455,1.56971,0.00237,0.48649,0.00178,0.0006,3.17988,4.80673,2.4894,0.0683122,0.000312247,0.000312247
12,29.7621,1.53076,1.45243,1.56484,0.00237,0.48649,0.00178,0.0006,3.0319,4.65105,2.23692,0.0653398,0.000339758,0.000339758
13,32.2926,1.48294,1.31466,1.53426,0.00237,0.48649,0.00178,0.0006,2.68549,4.77141,2.03684,0.0623668,0.000366791,0.000366791
14,34.2237,1.53997,1.43577,1.56652,0.00237,0.48649,0.00178,0.0006,2.59566,5.12212,2.09996,0.0593933,0.000393308,0.000393308
15,36.5142,1.53526,1.32348,1.56736,0.0125,0.08108,0.00681,0.00521,2.18778,4.97932,1.7872,0.0564193,0.000419271,0.000419271
16,38.6401,1.43937,1.2882,1.51713,0.03145,0.27027,0.19805,0.11689,2.1511,4.57219,1.72538,0.0534446,0.000444643,0.000444643
17,41.1572,1.43808,1.18052,1.48266,0.02452,0.37838,0.27086,0.15197,2.29351,4.45608,1.88634,0.0504694,0.000469386,0.000469386
