epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,874.532,1.02927,0.71192,1.12315,0.9566,0.86939,0.9505,0.73581,0.72805,0.58955,0.88097,0.000643101,0.000643101,0.000643101
43,896.188,1.03518,0.73278,1.13067,0.92247,0.8636,0.94548,0.72683,0.81872,0.65975,0.90795,0.000628101,0.000628101,0.000628101
44,918.557,1.01144,0.69839,1.1159,0.9474,0.88132,0.96171,0.6789,0.97449,0.6252,0.95174,0.000612981,0.000612981,0.000612981
45,941.466,1.01388,0.71209,1.12054,0.9514,0.88699,0.95742,0.72299,0.81297,0.5606,0.92962,0.000597754,0.000597754,0.000597754
46,965.56,1.01011,0.70807,1.11243,0.93806,0.88466,0.95926,0.73372,0.7782,0.70514,0.89366,0.000582435,0.000582435,0.000582435
47,987.06,0.9911,0.67704,1.09521,0.93552,0.89127,0.96086,0.73118,0.74171,0.67726,0.90007,0.00056704,0.00056704,0.00056704
48,1008.62,1.002,0.69911,1.10589,0.93498,0.89721,0.96077,0.77051,0.65663,0.57418,0.8677,0.000551584,0.000551584,0.000551584
49,1030.44,0.99248,0.69348,1.11466,0.95353,0.919,0.97002,0.74653,0.75294,0.54015,0.88736,0.000536081,0.000536081,0.000536081
50,1053.56,0.98362,0.65905,1.09598,0.95606,0.90754,0.961,0.64818,1.07261,0.62942,1.01254,0.000520548,0.000520548,0.000520548
51,1076.64,0.95327,0.66532,1.08424,0.9704,0.90918,0.97002,0.77455,0.69223,0.58037,0.88031,0.000505,0.000505,0.000505
52,1100.48,0.95246,0.66242,1.08475,0.96975,0.92708,0.97125,0.72855,0.84747,0.54962,0.90259,0.000489452,0.000489452,0.000489452
53,1126.62,0.97423,0.66537,1.09298,0.93875,0.93731,0.97285,0.77183,0.74395,0.56265,0.88412,0.000473919,0.000473919,0.000473919
54,1155.13,0.9678,0.65715,1.09011,0.96212,0.93986,0.96752,0.76078,0.73523,0.52325,0.87496,0.000458416,0.000458416,0.000458416
55,1177.98,0.94988,0.64164,1.08432,0.96872,0.89897,0.96692,0.76184,0.70428,0.51997,0.87538,0.00044296,0.00044296,0.00044296
56,1201.3,0.96453,0.65428,1.08757,0.94521,0.90466,0.96726,0.78289,0.64595,0.54076,0.86772,0.000427565,0.000427565,0.000427565
57,1224.46,0.9586,0.64084,1.0831,0.96409,0.92146,0.96591,0.76169,0.71234,0.51225,0.88817,0.000412246,0.000412246,0.000412246
58,1248.39,0.95332,0.63434,1.08575,0.94214,0.93257,0.96753,0.72918,0.86206,0.53049,0.9162,0.000397019,0.000397019,0.000397019
59,1269.57,0.94209,0.63332,1.07209,0.95407,0.90898,0.9626,0.72906,0.79709,0.55514,0.92295,0.000381899,0.000381899,0.000381899
60,1293.01,0.92525,0.62337,1.07333,0.95893,0.91025,0.96333,0.7491,0.75551,0.49281,0.89221,0.000366899,0.000366899,0.000366899
61,1316.02,0.89855,0.62111,1.05399,0.96188,0.90091,0.9633,0.78697,0.59695,0.53928,0.86367,0.000352037,0.000352037,0.000352037
62,1338.88,0.90666,0.62654,1.06731,0.93123,0.93257,0.9695,0.78184,0.63566,0.51923,0.86089,0.000337325,0.000337325,0.000337325
63,1361.93,0.8886,0.58853,1.05468,0.96216,0.9041,0.96047,0.76552,0.70693,0.50808,0.87183,0.000322778,0.000322778,0.000322778
64,1385.03,0.90073,0.61882,1.06695,0.89948,0.91672,0.96649,0.78114,0.66059,0.49085,0.86804,0.000308412,0.000308412,0.000308412
65,1409.12,0.91046,0.61578,1.0611,0.95823,0.92953,0.96878,0.78535,0.63929,0.46513,0.85824,0.000294239,0.000294239,0.000294239
66,1432.01,0.8787,0.58728,1.05116,0.95189,0.94527,0.97034,0.78838,0.66187,0.4706,0.87266,0.000280275,0.000280275,0.000280275
67,1454.93,0.91193,0.59386,1.0687,0.95629,0.91055,0.97209,0.78995,0.66206,0.50436,0.87301,0.000266532,0.000266532,0.000266532
68,1477.95,0.88563,0.59838,1.0565,0.96977,0.92086,0.96502,0.76809,0.67681,0.49975,0.86435,0.000253024,0.000253024,0.000253024
69,1501.07,0.85978,0.59063,1.03646,0.96098,0.9109,0.96113,0.79141,0.61397,0.48687,0.86148,0.000239766,0.000239766,0.000239766
70,1526.19,0.9064,0.60985,1.06421,0.96149,0.91411,0.96865,0.77334,0.66732,0.48484,0.86537,0.000226769,0.000226769,0.000226769
71,1552.17,0.87252,0.57638,1.04319,0.95695,0.92193,0.96266,0.77972,0.67354,0.47357,0.86446,0.000214046,0.000214046,0.000214046
72,1578.75,0.87206,0.57739,1.04005,0.95856,0.92204,0.96167,0.75964,0.71481,0.46592,0.87785,0.000201611,0.000201611,0.000201611
73,1599.7,0.86335,0.56593,1.04118,0.95427,0.93676,0.96357,0.78456,0.66599,0.4204,0.86131,0.000189475,0.000189475,0.000189475
74,1624.1,0.84364,0.5534,1.03841,0.96645,0.93851,0.96789,0.78075,0.65078,0.44313,0.85998,0.000177651,0.000177651,0.000177651
75,1648.5,0.83795,0.56105,1.02709,0.94997,0.93446,0.96902,0.79261,0.63353,0.42238,0.86143,0.000166149,0.000166149,0.000166149
76,1672.06,0.86062,0.5597,1.04549,0.96224,0.91903,0.96624,0.78893,0.64376,0.43832,0.86094,0.000154982,0.000154982,0.000154982
77,1695.37,0.87706,0.5852,1.04767,0.95605,0.93461,0.96936,0.79196,0.64081,0.46882,0.86019,0.000144161,0.000144161,0.000144161
78,1718.75,0.85211,0.56598,1.04505,0.96853,0.93991,0.96993,0.79233,0.63364,0.44008,0.86306,0.000133695,0.000133695,0.000133695
79,1741.83,0.84549,0.56528,1.03172,0.97288,0.93397,0.96977,0.79234,0.64595,0.43183,0.86449,0.000123596,0.000123596,0.000123596
80,1764.71,0.83961,0.55618,1.02858,0.97759,0.91547,0.97329,0.80528,0.57471,0.41394,0.84874,0.000113873,0.000113873,0.000113873
81,1787.67,0.84191,0.54948,1.02714,0.93697,0.94535,0.96995,0.80391,0.58806,0.41523,0.85079,0.000104537,0.000104537,0.000104537
82,1810.82,0.82483,0.5355,1.02003,0.94935,0.93962,0.96617,0.79947,0.59656,0.42656,0.85443,9.55951e-05,9.55951e-05,9.55951e-05
83,1833.87,0.82657,0.53643,1.02564,0.97029,0.92093,0.97189,0.79746,0.6065,0.41383,0.85797,8.70577e-05,8.70577e-05,8.70577e-05
84,1856.73,0.84775,0.54971,1.04252,0.97046,0.92594,0.97299,0.80534,0.58896,0.3852,0.85274,7.89327e-05,7.89327e-05,7.89327e-05
85,1880,0.81683,0.54855,1.02075,0.97373,0.92494,0.97355,0.80904,0.57248,0.39153,0.84756,7.12282e-05,7.12282e-05,7.12282e-05
86,1905.03,0.81472,0.54934,1.02375,0.96932,0.93517,0.96988,0.80546,0.58557,0.39678,0.85091,6.39518e-05,6.39518e-05,6.39518e-05
87,1925.98,0.81372,0.52952,1.01662,0.97916,0.91819,0.97236,0.80683,0.59956,0.40005,0.85231,5.71106e-05,5.71106e-05,5.71106e-05
88,1948.89,0.82755,0.54143,1.02815,0.96103,0.92775,0.97202,0.79878,0.61574,0.40087,0.8542,5.07115e-05,5.07115e-05,5.07115e-05
89,1971.84,0.83575,0.54829,1.03225,0.96495,0.93433,0.97014,0.80199,0.58134,0.38755,0.85097,4.47606e-05,4.47606e-05,4.47606e-05
90,1994.67,0.79947,0.53315,1.01887,0.96949,0.92614,0.97292,0.8144,0.54938,0.38722,0.84825,3.9264e-05,3.9264e-05,3.9264e-05
91,2049.82,0.64203,0.42824,0.95199,0.95223,0.94121,0.97372,0.80568,0.56355,0.39056,0.85245,3.4227e-05,3.4227e-05,3.4227e-05
92,2069.41,0.63039,0.37262,0.95144,0.95445,0.93627,0.97233,0.80469,0.55914,0.40001,0.85227,2.96546e-05,2.96546e-05,2.96546e-05
93,2084.18,0.61298,0.35337,0.93969,0.96105,0.92327,0.97147,0.80343,0.54337,0.40066,0.85024,2.55513e-05,2.55513e-05,2.55513e-05
94,2098.66,0.62334,0.36024,0.94327,0.95729,0.92988,0.97167,0.7995,0.56066,0.40501,0.85257,2.19212e-05,2.19212e-05,2.19212e-05
95,2113.14,0.61773,0.35873,0.94645,0.97145,0.92466,0.97163,0.80018,0.55304,0.39534,0.84984,1.87678e-05,1.87678e-05,1.87678e-05
96,2127.6,0.5998,0.35493,0.92939,0.95758,0.94109,0.97177,0.79705,0.56875,0.39315,0.85096,1.60943e-05,1.60943e-05,1.60943e-05
97,2142.05,0.60844,0.35505,0.93669,0.95668,0.94348,0.97182,0.80382,0.5538,0.39479,0.84926,1.39032e-05,1.39032e-05,1.39032e-05
98,2156.5,0.60045,0.3519,0.93539,0.95969,0.93995,0.9726,0.80151,0.55775,0.39625,0.84999,1.21968e-05,1.21968e-05,1.21968e-05
99,2170.7,0.60794,0.35033,0.93367,0.95568,0.94268,0.97254,0.80462,0.54597,0.38736,0.84792,1.09768e-05,1.09768e-05,1.09768e-05
100,2190.77,0.60439,0.35116,0.93271,0.9565,0.9431,0.97246,0.8055,0.55173,0.38733,0.84881,1.02443e-05,1.02443e-05,1.02443e-05
