epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6595,1.23345,0.73263,1.34454,0.90044,0.87722,0.89274,0.55844,1.34626,0.86216,1.42992,0.0677674,0.000325581,0.000325581
2,19.0425,1.14415,0.69658,1.31187,0.90463,0.84413,0.89652,0.5659,1.42108,0.79633,1.48953,0.0347673,0.000658754,0.000658754
3,26.9833,1.14302,0.66868,1.28814,0.86883,0.81017,0.87167,0.51714,1.63473,0.88111,1.56353,0.00176647,0.000991279,0.000991279
4,34.7495,1.18437,0.70785,1.31544,0.85978,0.88057,0.8892,0.5413,1.42191,0.77943,1.4837,0.000997803,0.000997803,0.000997803
5,42.6202,1.13406,0.71419,1.28108,0.86447,0.88925,0.89226,0.55083,1.45073,0.82045,1.47835,0.000996097,0.000996097,0.000996097
6,50.5761,1.12699,0.69812,1.29426,0.84362,0.87453,0.86714,0.55034,1.41633,0.88864,1.44773,0.000993906,0.000993906,0.000993906
7,58.3702,1.13886,0.72738,1.2994,0.88758,0.87199,0.90683,0.59814,1.26721,0.80689,1.35673,0.000991232,0.000991232,0.000991232
8,66.1358,1.1152,0.6825,1.29366,0.88771,0.8716,0.9027,0.58361,1.29839,0.73296,1.41204,0.000988079,0.000988079,0.000988079
9,73.8316,1.13262,0.68545,1.29535,0.82011,0.85434,0.87739,0.56094,1.32912,0.78,1.39474,0.000984449,0.000984449,0.000984449
10,81.7854,1.13746,0.67839,1.29825,0.88045,0.83789,0.87326,0.53332,1.52068,0.85963,1.53022,0.000980345,0.000980345,0.000980345
11,89.7129,1.13167,0.68893,1.29891,0.9132,0.84842,0.89757,0.56968,1.39307,0.83049,1.41629,0.000975773,0.000975773,0.000975773
12,97.4478,1.13699,0.6893,1.29605,0.92313,0.89437,0.90304,0.54673,1.52952,0.83106,1.49765,0.000970736,0.000970736,0.000970736
13,105.202,1.13846,0.70908,1.31251,0.91606,0.86891,0.8967,0.52419,1.60763,0.79737,1.56401,0.000965239,0.000965239,0.000965239
14,113.069,1.17706,0.73251,1.31354,0.92662,0.84667,0.89844,0.51874,1.59928,0.83256,1.62219,0.000959289,0.000959289,0.000959289
15,121.073,1.1126,0.6916,1.27378,0.93598,0.84082,0.89205,0.56567,1.48357,0.84845,1.48487,0.000952889,0.000952889,0.000952889
16,128.883,1.11951,0.66893,1.29315,0.84253,0.84937,0.87622,0.55222,1.45838,0.83907,1.45913,0.000946048,0.000946048,0.000946048
17,136.8,1.09476,0.66438,1.25044,0.90193,0.78324,0.88843,0.57586,1.43767,0.834,1.47481,0.000938772,0.000938772,0.000938772
18,144.698,1.11416,0.68705,1.28704,0.87996,0.86522,0.88594,0.55833,1.42789,0.78157,1.43733,0.000931067,0.000931067,0.000931067
19,152.678,1.09106,0.68721,1.27186,0.8619,0.88527,0.88149,0.56277,1.39999,0.84369,1.43506,0.000922942,0.000922942,0.000922942
20,160.485,1.08833,0.64623,1.25712,0.91892,0.87751,0.9002,0.54903,1.49935,0.82568,1.47811,0.000914405,0.000914405,0.000914405
21,168.283,1.10003,0.68228,1.27452,0.91371,0.86859,0.89977,0.49302,1.64988,0.80747,1.57476,0.000905463,0.000905463,0.000905463
22,176.283,1.09743,0.69763,1.27643,0.92425,0.8684,0.91122,0.59283,1.35091,0.72506,1.43929,0.000896127,0.000896127,0.000896127
23,184.25,1.10301,0.67471,1.27129,0.92452,0.85793,0.9134,0.57769,1.45189,0.8,1.53456,0.000886404,0.000886404,0.000886404
24,192.138,1.10178,0.66739,1.25362,0.85629,0.87971,0.89504,0.57816,1.34568,0.82847,1.4237,0.000876305,0.000876305,0.000876305
25,199.955,1.08155,0.65855,1.25962,0.88834,0.8366,0.89254,0.57967,1.35429,0.87284,1.39836,0.000865839,0.000865839,0.000865839
26,207.708,1.11535,0.67319,1.27762,0.86656,0.81316,0.87854,0.57753,1.3171,0.83071,1.38817,0.000855018,0.000855018,0.000855018
27,215.665,1.10759,0.66563,1.27817,0.81841,0.8977,0.88896,0.58843,1.28347,0.74826,1.3718,0.000843851,0.000843851,0.000843851
