epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9636,1.36074,1.7394,1.50966,0.81738,0.86075,0.88446,0.53752,1.54482,1.20155,1.49132,0.0677674,0.000325581,0.000325581
2,19.1769,1.35153,0.98507,1.47067,0.9324,0.82376,0.88741,0.50651,1.75725,1.11267,1.60108,0.0347673,0.000658754,0.000658754
3,27.1989,1.33406,0.88194,1.42493,0.86208,0.87679,0.88945,0.5153,1.5588,0.9264,1.47895,0.00176647,0.000991279,0.000991279
4,35.1399,1.3483,0.89443,1.44008,0.90063,0.84381,0.88573,0.50268,1.53899,0.96202,1.442,0.000997803,0.000997803,0.000997803
5,43.0451,1.30962,0.8852,1.39973,0.86281,0.88065,0.88617,0.50854,1.69374,1.00138,1.60396,0.000996097,0.000996097,0.000996097
6,51.0144,1.28682,0.83065,1.38592,0.89322,0.87505,0.91093,0.55892,1.43679,0.94485,1.46393,0.000993906,0.000993906,0.000993906
7,58.9159,1.30043,0.86994,1.41551,0.86897,0.87416,0.8951,0.57948,1.41725,0.89354,1.41615,0.000991232,0.000991232,0.000991232
8,66.8229,1.29124,0.82165,1.40563,0.84294,0.78653,0.88895,0.56129,1.36347,0.95988,1.36393,0.000988079,0.000988079,0.000988079
9,74.6049,1.27442,0.8131,1.38741,0.78866,0.83642,0.87487,0.53328,1.59883,1.08215,1.47733,0.000984449,0.000984449,0.000984449
10,82.6872,1.29542,0.8131,1.40418,0.78676,0.86721,0.86411,0.50736,1.58155,0.98154,1.46715,0.000980345,0.000980345,0.000980345
11,90.7413,1.28274,0.81286,1.39109,0.91723,0.82656,0.87966,0.5223,1.53107,0.96733,1.43112,0.000975773,0.000975773,0.000975773
12,98.5083,1.25594,0.78434,1.37748,0.87617,0.84359,0.89448,0.55422,1.46951,0.87631,1.44563,0.000970736,0.000970736,0.000970736
13,106.304,1.27482,0.80143,1.40694,0.91526,0.83655,0.88192,0.52551,1.62742,0.90965,1.53525,0.000965239,0.000965239,0.000965239
14,114.175,1.33293,0.82755,1.40922,0.91813,0.85976,0.89634,0.56484,1.38553,0.86339,1.43537,0.000959289,0.000959289,0.000959289
15,122.02,1.24846,0.80196,1.36439,0.8529,0.85467,0.88881,0.52089,1.60567,0.89657,1.56322,0.000952889,0.000952889,0.000952889
16,129.813,1.2295,0.75363,1.37315,0.82736,0.88101,0.884,0.54715,1.52672,0.8696,1.51045,0.000946048,0.000946048,0.000946048
17,137.642,1.20313,0.75296,1.32642,0.88245,0.86719,0.89149,0.56855,1.44973,0.8481,1.44017,0.000938772,0.000938772,0.000938772
18,145.405,1.23655,0.77123,1.3704,0.8941,0.83891,0.89232,0.5595,1.54453,0.95078,1.49917,0.000931067,0.000931067,0.000931067
19,153.186,1.21169,0.79313,1.35619,0.89094,0.83159,0.8889,0.5299,1.54399,1.03848,1.52362,0.000922942,0.000922942,0.000922942
20,160.851,1.227,0.73781,1.35431,0.87564,0.86561,0.87677,0.53265,1.51818,0.9492,1.48674,0.000914405,0.000914405,0.000914405
21,168.71,1.23502,0.78217,1.36469,0.86501,0.88027,0.90077,0.52965,1.57518,0.84636,1.48013,0.000905463,0.000905463,0.000905463
22,176.534,1.24529,0.77863,1.39149,0.88986,0.86679,0.90181,0.55948,1.45576,0.87053,1.47111,0.000896127,0.000896127,0.000896127
23,184.493,1.20155,0.75882,1.34601,0.85572,0.86438,0.8878,0.56636,1.4105,0.75224,1.46931,0.000886404,0.000886404,0.000886404
24,192.519,1.20386,0.7315,1.34,0.91836,0.86134,0.89868,0.53757,1.55029,0.78764,1.51742,0.000876305,0.000876305,0.000876305
25,200.28,1.18941,0.72072,1.34914,0.92624,0.85469,0.90571,0.59575,1.37424,0.787,1.41672,0.000865839,0.000865839,0.000865839
